@relation autoMPG8
@attribute Cylinders integer[3,8]
@attribute Displacement real[68.0,455.0]
@attribute Horse_power integer[46,230]
@attribute Weight integer[1613,5140]
@attribute Acceleration real[8.0,24.8]
@attribute Model_year integer[70,82]
@attribute Origin integer[1,3]
@attribute Mpg real[9.0,46.6]
@inputs Cylinders, Displacement, Horse_power, Weight, Acceleration, Model_year, Origin
@outputs Mpg
@data
6, 250, 105, 3459, 16, 75, 1, 18
4, 98, 68, 2135, 16.6, 78, 3, 29.5
4, 90, 70, 1937, 14.2, 76, 2, 29
6, 198, 95, 2904, 16, 73, 1, 23
4, 121, 113, 2234, 12.5, 70, 2, 26
4, 71, 65, 1836, 21, 74, 3, 32
8, 360, 215, 4615, 14, 70, 1, 10
4, 97, 88, 2130, 14.5, 70, 3, 27
4, 134, 95, 2515, 14.8, 78, 3, 21.1
5, 121, 67, 2950, 19.9, 80, 2, 36.4
8, 302, 129, 3169, 12, 75, 1, 13
4, 121, 115, 2671, 13.5, 75, 2, 25
6, 258, 110, 2962, 13.5, 71, 1, 18
6, 250, 72, 3432, 21, 75, 1, 15
4, 98, 83, 2075, 15.9, 77, 1, 33.5
4, 122, 88, 2500, 15.1, 80, 2, 35
8, 351, 153, 4154, 13.5, 71, 1, 14
3, 70, 90, 2124, 13.5, 73, 3, 18
6, 232, 100, 3288, 15.5, 71, 1, 18
6, 225, 110, 3620, 18.7, 78, 1, 18.6
4, 156, 92, 2585, 14.5, 82, 1, 26
4, 114, 91, 2582, 14, 73, 2, 20
4, 90, 71, 2223, 16.5, 75, 2, 25
4, 119, 92, 2434, 15, 80, 3, 37
8, 318, 210, 4382, 13.5, 70, 1, 11
4, 120, 79, 2625, 18.6, 82, 1, 28
6, 250, 88, 3021, 16.5, 73, 1, 18
8, 350, 145, 3988, 13, 73, 1, 13
4, 141, 71, 3190, 24.8, 79, 2, 27.2
6, 225, 105, 3121, 16.5, 73, 1, 18
8, 350, 155, 4360, 14.9, 79, 1, 16.9
4, 108, 94, 2379, 16.5, 73, 3, 22
6, 200, 85, 2587, 16, 70, 1, 21
4, 98, 68, 2155, 16.5, 78, 1, 30
4, 104, 95, 2375, 17.5, 70, 2, 25
4, 76, 52, 1649, 16.5, 74, 3, 31
8, 302, 130, 3870, 15, 76, 1, 13
4, 122, 86, 2220, 14, 71, 1, 23
4, 78, 52, 1985, 19.4, 78, 3, 32.8
6, 231, 105, 3380, 15.8, 78, 1, 20.6
6, 250, 110, 3645, 16.2, 76, 1, 18.5
4, 91, 60, 1800, 16.4, 78, 3, 36.1
4, 90, 75, 2108, 15.5, 74, 2, 24
4, 97, 67, 2145, 18, 80, 3, 33.8
8, 440, 215, 4735, 11, 73, 1, 13
8, 318, 145, 4140, 13.7, 77, 1, 15.5
6, 146, 120, 2930, 13.8, 81, 3, 24.2
4, 116, 75, 2246, 14, 74, 2, 26
4, 86, 65, 1975, 15.2, 79, 3, 34.1
3, 80, 110, 2720, 13.5, 77, 3, 21.5
6, 250, 98, 3525, 19, 77, 1, 18.5
8, 305, 145, 3425, 13.2, 78, 1, 19.2
8, 400, 150, 3761, 9.5, 70, 1, 15
8, 318, 150, 4096, 13, 71, 1, 14
6, 198, 95, 3102, 16.5, 74, 1, 20
4, 91, 67, 1995, 16.2, 82, 3, 38
4, 130, 102, 3150, 15.7, 76, 2, 20
6, 232, 90, 3210, 17.2, 78, 1, 19.4
6, 200, 95, 3155, 18.2, 78, 1, 20.5
8, 383, 180, 4955, 11.5, 71, 1, 12
8, 350, 180, 3664, 11, 73, 1, 11
8, 307, 200, 4376, 15, 70, 1, 10
8, 318, 150, 4190, 13, 76, 1, 16
4, 85, 70, 2070, 18.6, 78, 3, 39.4
4, 91, 53, 1795, 17.4, 76, 3, 33
6, 225, 105, 3439, 15.5, 71, 1, 16
4, 112, 88, 2640, 18.6, 82, 1, 27
6, 231, 105, 3425, 16.9, 77, 1, 20.5
8, 350, 165, 4209, 12, 71, 1, 14
8, 350, 160, 4456, 13.5, 72, 1, 12
8, 351, 148, 4657, 13.5, 75, 1, 14
6, 198, 95, 2833, 15.5, 70, 1, 22
8, 400, 180, 4220, 11.1, 77, 1, 16
4, 120, 88, 2957, 17, 75, 2, 23
4, 122, 86, 2395, 16, 72, 1, 22
4, 97, 75, 2265, 18.2, 77, 3, 26
4, 121, 112, 2933, 14.5, 72, 2, 18
4, 141, 80, 3230, 20.4, 81, 2, 28.1
6, 250, 105, 3353, 14.5, 76, 1, 22
